feature,ks_statistic,p_value,train_mean,val_mean,mean_diff,train_std,val_std,std_diff,is_drifted
feature_4,0.9999942454603322,0.0,-0.0010410863,2.151408,2.1524491,1.0003345,0.21516727,0.7851672,True
feature_24,0.9999875924106912,0.0,-0.0010291816,2.0408878,2.041917,1.000325,0.17361237,0.8267126,True
feature_3,0.9991666235847594,0.0,-0.0007209627,3.9583862,3.9591072,1.0001146,1.6260937,0.6259792,True
feature_21,0.6210925877172812,0.0,0.00021496072,-0.30415586,0.30437082,0.9244964,1.1227193,0.19822288,True
feature_15,0.3963695776483311,0.0,2.6180302e-05,0.54868317,0.548657,0.9507415,1.3028257,0.35208416,True
feature_26,0.29770443396128365,0.0,-0.00025554802,-0.55835164,0.5580961,0.99092835,0.8840414,0.10688692,True
feature_6,0.2939060675469942,0.0,-1.9164256e-05,0.24973238,0.24975154,0.8579314,1.3152202,0.45728886,True
feature_23,0.2776384647985821,0.0,-9.477386e-05,-0.5181723,0.51807755,0.92175627,1.0824782,0.1607219,True
feature_18,0.2756053200368111,0.0,-5.4002845e-07,0.24770318,0.24770372,0.85787976,1.300902,0.44302225,True
feature_20,0.24242767806558763,0.0,0.00042935822,-0.44440606,0.44483542,0.97970223,2.10186,1.1221578,True
feature_13,0.2284370190257649,0.0,-2.0459265e-05,-0.4705493,0.47052884,0.8307643,0.98270893,0.15194464,True
feature_25,0.19668928268227556,0.0,6.344262e-05,-0.32683325,0.3268967,0.9669232,1.078864,0.1119408,True
feature_16,0.171051289820618,0.0,-4.7971887e-05,-0.40156478,0.4015168,0.95287913,1.2374403,0.28456122,True
feature_1,0.16810909106291372,0.0,-1.2882061e-05,0.04112686,0.04113974,0.96358985,1.3163471,0.35275728,True
feature_0,0.1531559931814936,0.0,0.00016327496,-0.3029736,0.3031369,0.89118487,1.1066431,0.21545821,True
feature_12,0.14734860693129798,0.0,-7.890384e-05,-0.19379407,0.19371517,0.84826195,1.0152591,0.1669972,True
feature_19,0.13651308032854254,0.0,5.694139e-05,-0.28301823,0.28307518,0.86132395,1.1160905,0.25476658,True
feature_7,0.1363901680223742,0.0,4.3168235e-05,-0.28753054,0.2875737,0.85995036,1.1336004,0.27365,True
feature_8,0.13268410186768853,0.0,0.00021045687,0.3906243,0.39041385,0.9952836,1.0683591,0.07307553,True
feature_14,0.08820064034317943,0.0,-1.2766858e-05,0.0031687373,0.003181504,0.96021837,1.2944295,0.33421117,True
feature_5,0.08152739340967685,0.0,0.00056196516,-0.21203706,0.21259902,0.9548927,1.1380278,0.18313509,True
feature_2,0.07734992005949404,0.0,0.0002669036,-0.09555072,0.095817626,0.91382706,1.3110367,0.39720964,True
feature_10,0.075443030569469,0.0,0.00018250919,0.1387688,0.1385863,0.99493927,1.0925708,0.097631514,True
feature_17,0.07261804613710654,0.0,0.00057855924,-0.18909752,0.18967608,0.9551947,1.1264925,0.17129779,True
feature_11,0.0717059460648879,0.0,0.0005482955,-0.1418163,0.14236459,0.9365102,0.9914866,0.054976404,True
feature_22,0.0592329012154475,0.0,0.0002101069,-0.2960676,0.2962777,0.953571,1.6660748,0.71250373,True
feature_9,0.04111830790967641,0.0,0.00025438366,0.035908073,0.035653688,0.994343,1.0555469,0.061203897,True
feature_27,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False
feature_28,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False
feature_29,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False
feature_30,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False
